"Washington, DC",DC,WashingtonDC
"Charlottesville City, VA",VA,CharlottesvilleCityVA
"Chesapeake City, VA",VA,ChesapeakeCityVA
"Colonial Heights City, VA",VA,ColonialHeightsCityVA
"Covington City, VA",VA,CovingtonCityVA
"Fairfax City, VA",VA,FairfaxCityVA
"Falls Church City, VA",VA,FallsChurchCityVA
"Fredericksburg City, VA",VA,FredericksburgCityVA
"Hampton City, VA",VA,HamptonCityVA
"Harrisonburg City, VA",VA,HarrisonburgCityVA
"Hopewell City, VA",VA,HopewellCityVA
"Lexington City, VA",VA,LexingtonCityVA
"Lynchburg City, VA",VA,LynchburgCityVA
"Manassas City, VA",VA,ManassasCityVA
"Manassas Park City, VA",VA,ManassasParkCityVA
"Newport News City, VA",VA,NewportNewsCityVA
"Norfolk City, VA",VA,NorfolkCityVA
"Petersburg City, VA",VA,PetersburgCityVA
"Poquoson City, VA",VA,PoquosonCityVA
"Portsmouth City, VA",VA,PortsmouthCityVA
"Richmond City, VA",VA,RichmondCityVA
"Staunton City, VA",VA,StauntonCityVA
"Suffolk City, VA",VA,SuffolkCityVA
"Virginia Beach City, VA",VA,VirginiaBeachCityVA
"Waynesboro City, VA",VA,WaynesboroCityVA
"Williamsburg City, VA",VA,WilliamsburgCityVA
"Winchester City, VA",VA,WinchesterCityVA
"Berkeley, WV",WV,BerkeleyWV
"Grant, WV",WV,GrantWV
"Hampshire, WV",WV,HampshireWV
"Hardy, WV",WV,HardyWV
"Jefferson, WV",WV,JeffersonWV
"Mineral, WV",WV,MineralWV
"Monroe, WV",WV,MonroeWV
"Morgan, WV",WV,MorganWV
"Pendleton, WV",WV,PendletonWV
"Preston, WV",WV,PrestonWV
"Tucker, WV",WV,TuckerWV
